date,sox_date,sox_ret,bucket,action,entry_time,entry_px,exit_px,how,pnl_sim,cum_pnl
2026-09-04,2026-09-03,0.00114,小漲0~1%,多0845,08:45,46500.0,46151.2,stop,-350.8,-350.8
2026-09-07,2026-09-04,0.03375,大漲>2%,空1000,10:00,47398.0,47472.0,close,-76.0,-426.8
2026-09-08,2026-09-04,0.03375,大漲>2%,空1000,10:00,47454.0,46970.0,close,482.0,55.2
2026-09-09,2026-09-08,0.013,漲1~2%,多0845,08:45,47084.0,47185.0,close,99.0,154.2
2026-09-10,2026-09-09,0.00365,小漲0~1%,多0845,08:45,46953.0,46600.9,stop,-354.1,-199.9
