date,yr,pnl
2023-08-15,2023,49.0
2023-08-16,2023,-68.0
2023-08-17,2023,68.0
2023-08-18,2023,-70.0
2023-08-22,2023,91.0
2023-08-23,2023,144.0
2023-08-24,2023,36.0
2023-08-25,2023,2.0
2023-08-29,2023,55.0
2023-08-30,2023,12.0
2023-09-07,2023,-45.0
2023-09-08,2023,-76.0
2023-09-11,2023,-144.0
2023-09-13,2023,8.0
2023-09-18,2023,20.0
2023-09-20,2023,-57.0
2023-09-21,2023,174.0
2023-09-22,2023,-146.0
2023-09-27,2023,-71.0
2023-10-04,2023,-40.0
2023-10-05,2023,156.0
2023-10-06,2023,45.0
2023-10-11,2023,-87.0
2023-10-16,2023,-8.0
2023-10-17,2023,-105.0
2023-10-18,2023,-185.0
2023-10-19,2023,-111.0
2023-10-20,2023,40.0
2023-10-23,2023,90.0
2023-10-24,2023,60.0
2023-10-25,2023,-11.0
2023-10-26,2023,-16.0
2023-10-27,2023,13.0
2023-10-30,2023,44.0
2023-10-31,2023,189.0
2023-11-02,2023,-152.0
2023-11-03,2023,-19.0
2023-11-06,2023,0.0
2023-11-07,2023,76.0
2023-11-10,2023,64.0
2023-11-13,2023,89.0
2023-11-14,2023,-18.0
2023-11-15,2023,32.0
2023-11-21,2023,125.0
2023-11-22,2023,14.0
2023-11-28,2023,135.0
2023-11-29,2023,-2.0
2023-12-01,2023,79.0
2023-12-05,2023,-31.0
2023-12-06,2023,16.0
2023-12-07,2023,-52.0
2023-12-08,2023,31.0
2023-12-12,2023,56.0
2023-12-14,2023,62.0
2023-12-15,2023,92.0
2023-12-19,2023,-21.0
2023-12-21,2023,44.0
2023-12-22,2023,5.0
2023-12-27,2023,97.0
2023-12-29,2023,18.0
2024-01-02,2024,-45.0
2024-01-03,2024,-75.0
2024-01-04,2024,22.0
2024-01-05,2024,-64.0
2024-01-09,2024,224.0
2024-01-11,2024,83.0
2024-01-15,2024,-15.0
2024-01-16,2024,-160.0
2024-01-17,2024,-108.0
2024-01-18,2024,41.0
2024-01-19,2024,-145.0
2024-01-22,2024,7.0
2024-01-25,2024,-29.0
2024-01-26,2024,47.0
2024-01-29,2024,80.0
2024-01-30,2024,-53.0
2024-01-31,2024,62.0
2024-02-01,2024,-13.0
2024-02-05,2024,70.0
2024-02-15,2024,-91.0
2024-02-16,2024,-33.0
2024-02-19,2024,-6.0
2024-02-20,2024,119.0
2024-02-21,2024,59.0
2024-02-22,2024,48.0
2024-02-23,2024,77.0
2024-02-26,2024,-51.0
2024-02-27,2024,-90.0
2024-02-29,2024,-157.0
2024-03-01,2024,8.0
2024-03-04,2024,-168.0
2024-03-05,2024,17.0
2024-03-06,2024,129.0
2024-03-07,2024,-17.0
2024-03-08,2024,132.0
2024-03-11,2024,53.0
2024-03-12,2024,-244.0
2024-03-13,2024,62.0
2024-03-14,2024,22.0
2024-03-15,2024,99.0
2024-03-18,2024,130.0
2024-03-19,2024,49.0
2024-03-20,2024,-28.0
2024-03-21,2024,220.0
2024-03-22,2024,-27.0
2024-03-26,2024,-89.0
2024-03-27,2024,77.0
2024-04-02,2024,165.0
2024-04-03,2024,22.0
2024-04-08,2024,44.0
2024-04-11,2024,-49.0
2024-04-12,2024,-8.0
2024-04-15,2024,39.0
2024-04-16,2024,337.0
2024-04-18,2024,74.0
2024-04-19,2024,315.0
2024-04-22,2024,10.0
2024-04-23,2024,30.0
2024-04-24,2024,-245.0
2024-04-25,2024,-64.0
2024-04-26,2024,49.0
2024-04-29,2024,-209.0
2024-05-02,2024,68.0
2024-05-03,2024,167.0
2024-05-06,2024,83.0
2024-05-07,2024,81.0
2024-05-08,2024,105.0
2024-05-10,2024,83.0
2024-05-13,2024,-58.0
2024-05-15,2024,54.0
2024-05-16,2024,93.0
2024-05-17,2024,31.0
2024-05-20,2024,-137.0
2024-05-21,2024,50.0
2024-05-22,2024,290.0
2024-05-23,2024,-16.0
2024-05-24,2024,117.0
2024-05-27,2024,197.0
2024-05-28,2024,63.0
2024-05-29,2024,-144.0
2024-05-30,2024,113.0
2024-05-31,2024,-228.0
2024-06-03,2024,183.0
2024-06-05,2024,119.0
2024-06-06,2024,-57.0
2024-06-07,2024,60.0
2024-06-11,2024,-122.0
2024-06-13,2024,-14.0
2024-06-14,2024,240.0
2024-06-17,2024,58.0
2024-06-18,2024,57.0
2024-06-19,2024,254.0
2024-06-20,2024,235.0
2024-06-21,2024,163.0
2024-06-24,2024,299.0
2024-06-25,2024,34.0
2024-06-26,2024,62.0
2024-06-27,2024,179.0
2024-06-28,2024,57.0
2024-07-03,2024,109.0
2024-07-04,2024,134.0
2024-07-05,2024,-77.0
2024-07-09,2024,-60.0
2024-07-10,2024,252.0
2024-07-11,2024,-110.0
2024-07-12,2024,-212.0
2024-07-15,2024,-232.0
2024-07-18,2024,64.0
