side,c_min,filt,k,tgt,n,winrate,avg,total,max_loss,pf,t,tgt_hit
long,400,無,80,200,58,0.603,-57.93,-3360.0,-1261.0,0.62,-1.31,0.397
long,400,無,80,250,58,0.569,-52.83,-3064.0,-1261.0,0.66,-1.16,0.31
long,400,無,90,100,59,0.763,-25.53,-1506.0,-1271.0,0.74,-0.7,0.746
long,400,無,90,150,59,0.644,-46.64,-2752.0,-1271.0,0.65,-1.12,0.559
long,400,無,90,200,59,0.593,-55.42,-3270.0,-1271.0,0.63,-1.26,0.424
long,400,無,90,250,59,0.525,-64.27,-3792.0,-1271.0,0.6,-1.43,0.288
long,400,無,100,100,63,0.778,-13.67,-861.0,-1281.0,0.85,-0.4,0.778
long,400,無,100,150,63,0.651,-35.33,-2226.0,-1281.0,0.72,-0.89,0.603
long,400,無,100,200,63,0.556,-52.78,-3325.0,-1281.0,0.65,-1.25,0.429
long,400,無,100,250,63,0.524,-46.79,-2948.0,-1281.0,0.7,-1.07,0.333
long,400,無,110,100,63,0.762,-32.4,-2041.0,-1291.0,0.7,-0.86,0.762
long,400,無,110,150,63,0.635,-40.3,-2539.0,-1291.0,0.69,-1.01,0.587
long,400,無,110,200,63,0.571,-50.51,-3182.0,-1291.0,0.66,-1.18,0.444
long,400,無,110,250,63,0.524,-50.56,-3185.0,-1291.0,0.68,-1.15,0.333
long,400,無,120,100,63,0.762,-35.52,-2238.0,-1301.0,0.67,-0.93,0.746
long,400,無,120,150,63,0.635,-40.89,-2576.0,-1301.0,0.69,-1.01,0.603
long,400,無,120,200,63,0.571,-50.83,-3202.0,-1301.0,0.67,-1.18,0.429
long,400,無,120,250,63,0.524,-54.05,-3405.0,-1301.0,0.66,-1.22,0.333
long,400,無,130,100,67,0.776,-12.78,-856.0,-1311.0,0.86,-0.38,0.776
long,400,無,130,150,67,0.627,-42.31,-2835.0,-1311.0,0.68,-1.08,0.597
long,400,無,130,200,67,0.567,-46.15,-3092.0,-1311.0,0.69,-1.12,0.433
long,400,無,130,250,67,0.537,-44.97,-3013.0,-1311.0,0.7,-1.06,0.343
long,400,無,140,100,69,0.754,-23.58,-1627.0,-1321.0,0.76,-0.71,0.754
long,400,無,140,150,69,0.638,-38.97,-2689.0,-1321.0,0.7,-1.01,0.609
long,400,無,140,200,69,0.58,-45.12,-3113.0,-1321.0,0.69,-1.12,0.42
long,400,無,140,250,69,0.551,-39.67,-2737.0,-1321.0,0.74,-0.95,0.362
long,400,無,150,100,71,0.761,-21.72,-1542.0,-1331.0,0.77,-0.67,0.761
long,400,無,150,150,71,0.648,-36.42,-2586.0,-1331.0,0.72,-0.96,0.606
long,400,無,150,200,71,0.592,-41.1,-2918.0,-1331.0,0.71,-1.03,0.437
long,400,無,150,250,71,0.563,-36.1,-2563.0,-1331.0,0.76,-0.88,0.366
