side,c_min,filt,k,tgt,n,winrate,avg,total,max_loss,pf,t,tgt_hit
long,0,前日反向,40,250,184,0.495,3.09,569.0,-912.0,1.06,0.26,0.087
long,0,前日反向,50,100,201,0.567,3.19,641.0,-883.0,1.08,0.36,0.403
long,0,前日反向,50,150,201,0.542,9.74,1957.0,-883.0,1.22,1.03,0.264
long,0,前日反向,50,200,201,0.527,5.33,1071.0,-922.0,1.11,0.49,0.129
long,0,前日反向,50,250,201,0.522,7.64,1536.0,-922.0,1.15,0.68,0.095
long,0,前日反向,60,100,204,0.559,0.74,151.0,-893.0,1.02,0.08,0.402
long,0,前日反向,60,150,204,0.529,0.87,177.0,-932.0,1.02,0.08,0.255
long,0,前日反向,60,200,204,0.52,2.21,450.0,-932.0,1.04,0.2,0.127
long,0,前日反向,60,250,204,0.515,4.44,905.0,-932.0,1.09,0.4,0.093
long,0,前日反向,70,100,214,0.565,0.01,2.0,-903.0,1.0,0.0,0.393
long,0,前日反向,70,150,214,0.523,-0.05,-10.0,-942.0,1.0,-0.0,0.252
long,0,前日反向,70,200,214,0.514,0.39,84.0,-942.0,1.01,0.04,0.117
long,0,前日反向,70,250,214,0.509,2.59,554.0,-942.0,1.05,0.24,0.079
long,0,前日反向,80,100,221,0.548,-1.37,-303.0,-913.0,0.97,-0.16,0.389
long,0,前日反向,80,150,221,0.516,-0.09,-19.0,-952.0,1.0,-0.01,0.253
long,0,前日反向,80,200,221,0.511,0.93,206.0,-952.0,1.02,0.09,0.118
long,0,前日反向,80,250,221,0.507,3.19,706.0,-952.0,1.06,0.3,0.081
long,0,前日反向,90,100,230,0.561,-1.27,-292.0,-923.0,0.97,-0.15,0.396
long,0,前日反向,90,150,230,0.535,1.29,296.0,-962.0,1.03,0.13,0.252
long,0,前日反向,90,200,230,0.53,2.46,566.0,-962.0,1.05,0.24,0.126
long,0,前日反向,90,250,230,0.526,4.96,1141.0,-962.0,1.1,0.47,0.083
long,0,前日反向,100,100,238,0.576,-1.26,-300.0,-933.0,0.97,-0.15,0.391
long,0,前日反向,100,150,238,0.546,1.11,263.0,-972.0,1.02,0.11,0.248
long,0,前日反向,100,200,238,0.538,2.72,647.0,-972.0,1.05,0.27,0.126
long,0,前日反向,100,250,238,0.534,4.99,1187.0,-972.0,1.1,0.48,0.08
long,0,前日反向,110,100,242,0.55,-6.91,-1672.0,-982.0,0.86,-0.76,0.384
long,0,前日反向,110,150,242,0.525,0.09,22.0,-982.0,1.0,0.01,0.248
long,0,前日反向,110,200,242,0.521,2.34,567.0,-982.0,1.05,0.23,0.128
long,0,前日反向,110,250,242,0.517,4.57,1107.0,-982.0,1.09,0.44,0.083
long,0,前日反向,120,100,247,0.559,-6.36,-1570.0,-992.0,0.87,-0.7,0.389
long,0,前日反向,120,150,247,0.534,0.26,63.0,-992.0,1.0,0.03,0.251
long,0,前日反向,120,200,247,0.53,1.59,393.0,-992.0,1.03,0.16,0.117
long,0,前日反向,120,250,247,0.526,3.6,888.0,-992.0,1.07,0.35,0.081
long,0,前日反向,130,100,258,0.578,0.45,117.0,-963.0,1.01,0.06,0.399
long,0,前日反向,130,150,258,0.55,2.9,749.0,-1002.0,1.06,0.31,0.252
long,0,前日反向,130,200,258,0.547,5.32,1373.0,-1002.0,1.11,0.55,0.124
long,0,前日反向,130,250,258,0.543,6.98,1800.0,-1002.0,1.14,0.7,0.085
