side,c_min,filt,k,tgt,ex,n,winrate,avg,total,max_loss,pf,avg_h1,avg_h2
short,200,無,60,200,12:30,80,0.525,5.59,447.0,-579.0,1.07,-1.2,12.3
short,200,無,60,200,13:00,80,0.525,-5.8,-464.0,-564.0,0.94,-5.5,-6.1
short,200,無,60,200,13:10,80,0.525,-13.3,-1064.0,-582.0,0.87,-7.9,-18.7
short,200,無,60,200,13:20,80,0.512,0.86,69.0,-550.0,1.01,1.1,0.6
short,200,無,60,200,13:30,80,0.512,3.42,274.0,-556.0,1.04,-3.8,10.7
short,200,無,60,200,13:44,80,0.512,7.41,593.0,-555.0,1.09,0.0,14.8
short,200,無,60,250,12:00,80,0.538,13.24,1059.0,-524.0,1.18,-8.7,35.2
short,200,無,60,250,12:30,80,0.512,13.59,1087.0,-579.0,1.17,-2.7,29.9
short,200,無,60,250,13:00,80,0.512,5.86,469.0,-564.0,1.06,-5.9,17.6
short,200,無,60,250,13:10,80,0.512,-3.54,-283.0,-582.0,0.97,-12.2,5.1
short,200,無,60,250,13:20,80,0.5,10.75,860.0,-550.0,1.12,-2.9,24.4
short,200,無,60,250,13:30,80,0.5,15.82,1266.0,-556.0,1.18,-4.0,35.7
short,200,無,60,250,13:44,80,0.488,21.41,1713.0,-555.0,1.25,2.6,40.3
short,200,無,70,50,12:00,84,0.833,15.15,1273.0,-383.0,1.61,-3.6,35.8
short,200,無,70,50,12:30,84,0.845,11.42,959.0,-439.0,1.39,-6.2,30.8
short,200,無,70,50,13:00,84,0.857,9.39,789.0,-425.0,1.3,-7.9,28.4
short,200,無,70,50,13:10,84,0.857,8.98,754.0,-404.0,1.28,-9.4,29.2
short,200,無,70,50,13:20,84,0.845,12.1,1016.0,-367.0,1.42,-4.0,29.8
short,200,無,70,50,13:30,84,0.845,11.88,998.0,-329.0,1.41,-5.4,30.9
short,200,無,70,50,13:44,84,0.845,9.56,803.0,-460.0,1.31,-6.8,27.6
short,200,無,70,75,12:00,84,0.762,18.46,1551.0,-534.0,1.5,4.3,34.1
short,200,無,70,75,12:30,84,0.774,17.13,1439.0,-439.0,1.44,1.5,34.4
short,200,無,70,75,13:00,84,0.786,14.07,1182.0,-425.0,1.33,0.1,29.4
short,200,無,70,75,13:10,84,0.798,11.32,951.0,-404.0,1.25,-3.0,27.1
short,200,無,70,75,13:20,84,0.762,14.62,1228.0,-396.0,1.36,2.1,28.4
short,200,無,70,75,13:30,84,0.762,14.4,1210.0,-495.0,1.35,0.5,29.7
short,200,無,70,75,13:44,84,0.762,16.61,1395.0,-460.0,1.43,-1.3,36.3
short,200,無,70,100,12:00,84,0.679,15.86,1332.0,-534.0,1.33,2.1,31.0
short,200,無,70,100,12:30,84,0.69,15.51,1303.0,-589.0,1.31,2.6,29.7
short,200,無,70,100,13:00,84,0.702,9.7,815.0,-574.0,1.17,0.5,19.8
short,200,無,70,100,13:10,84,0.714,2.85,239.0,-592.0,1.04,-6.1,12.7
short,200,無,70,100,13:20,84,0.69,8.19,688.0,-560.0,1.14,-0.3,17.6
short,200,無,70,100,13:30,84,0.679,9.88,830.0,-566.0,1.17,0.6,20.1
short,200,無,70,100,13:44,84,0.69,12.67,1064.0,-565.0,1.23,-0.1,26.7
short,200,無,70,150,12:00,84,0.595,13.68,1149.0,-534.0,1.21,6.3,21.8
short,200,無,70,150,12:30,84,0.595,15.08,1267.0,-589.0,1.23,10.5,20.1
short,200,無,70,150,13:00,84,0.607,5.89,495.0,-574.0,1.08,5.2,6.6
short,200,無,70,150,13:10,84,0.619,0.77,65.0,-592.0,1.01,3.8,-2.6
short,200,無,70,150,13:20,84,0.595,10.04,843.0,-560.0,1.13,9.0,11.2
short,200,無,70,150,13:30,84,0.595,15.18,1275.0,-566.0,1.22,9.8,21.1
short,200,無,70,150,13:44,84,0.607,16.21,1362.0,-565.0,1.23,7.6,25.7
short,200,無,70,200,12:00,84,0.548,17.49,1469.0,-534.0,1.25,18.8,16.0
short,200,無,70,200,12:30,84,0.548,17.12,1438.0,-589.0,1.23,23.7,9.8
short,200,無,70,200,13:00,84,0.56,4.83,406.0,-574.0,1.05,18.7,-10.4
short,200,無,70,200,13:10,84,0.571,-1.0,-84.0,-592.0,0.99,18.9,-22.9
short,200,無,70,200,13:20,84,0.548,11.42,959.0,-560.0,1.13,25.1,-3.6
short,200,無,70,200,13:30,84,0.548,17.12,1438.0,-566.0,1.21,26.6,6.7
short,200,無,70,200,13:44,84,0.548,18.6,1562.0,-565.0,1.22,26.2,10.3
short,200,無,70,250,12:00,84,0.5,18.1,1520.0,-534.0,1.25,14.0,22.6
short,200,無,70,250,12:30,84,0.524,22.94,1927.0,-589.0,1.29,21.9,24.1
short,200,無,70,250,13:00,84,0.536,13.39,1125.0,-574.0,1.15,17.5,8.9
short,200,無,70,250,13:10,84,0.524,4.02,338.0,-592.0,1.04,13.7,-6.6
short,200,無,70,250,13:20,84,0.512,16.04,1347.0,-560.0,1.18,20.5,11.2
short,200,無,70,250,13:30,84,0.512,23.23,1951.0,-566.0,1.27,24.7,21.6
short,200,無,70,250,13:44,84,0.5,25.04,2103.0,-565.0,1.28,26.5,23.5
short,200,無,80,50,12:00,84,0.821,12.85,1079.0,-383.0,1.48,-4.5,31.9
short,200,無,80,50,12:30,84,0.833,9.93,834.0,-439.0,1.33,-7.0,28.6
short,200,無,80,50,13:00,84,0.833,7.42,623.0,-425.0,1.23,-8.5,25.0
short,200,無,80,50,13:10,84,0.833,5.69,478.0,-404.0,1.17,-10.1,23.0
short,200,無,80,50,13:20,84,0.833,9.63,809.0,-367.0,1.32,-4.7,25.4
short,200,無,80,50,13:30,84,0.833,10.2,857.0,-329.0,1.34,-6.1,28.2
short,200,無,80,50,13:44,84,0.833,8.2,689.0,-460.0,1.26,-7.5,25.4
short,200,無,80,75,12:00,84,0.726,10.73,901.0,-544.0,1.25,0.9,21.5
short,200,無,80,75,12:30,84,0.738,11.19,940.0,-439.0,1.27,-2.3,26.1
short,200,無,80,75,13:00,84,0.75,9.5,798.0,-425.0,1.21,-3.9,24.2
short,200,無,80,75,13:10,84,0.75,4.07,342.0,-404.0,1.08,-9.0,18.4
short,200,無,80,75,13:20,84,0.738,7.81,656.0,-406.0,1.17,-3.9,20.7
short,200,無,80,75,13:30,84,0.738,10.76,904.0,-505.0,1.25,-3.4,26.4
short,200,無,80,75,13:44,84,0.75,13.9,1168.0,-460.0,1.34,-5.6,35.4
short,200,無,80,100,12:00,84,0.655,9.68,813.0,-544.0,1.18,-0.1,20.4
short,200,無,80,100,12:30,84,0.667,8.64,726.0,-599.0,1.16,0.4,17.8
short,200,無,80,100,13:00,84,0.679,1.87,157.0,-584.0,1.03,-1.5,5.6
short,200,無,80,100,13:10,84,0.667,-6.06,-509.0,-602.0,0.91,-8.1,-3.8
short,200,無,80,100,13:20,84,0.667,0.69,58.0,-570.0,1.01,-2.3,4.0
short,200,無,80,100,13:30,84,0.667,2.98,250.0,-576.0,1.05,-1.4,7.8
short,200,無,80,100,13:44,84,0.667,5.74,482.0,-575.0,1.1,-2.1,14.4
short,200,無,80,150,12:00,84,0.571,11.01,925.0,-544.0,1.17,4.1,18.6
short,200,無,80,150,12:30,84,0.595,12.42,1043.0,-599.0,1.18,8.3,16.9
short,200,無,80,150,13:00,84,0.595,3.23,271.0,-584.0,1.04,3.0,3.5
short,200,無,80,150,13:10,84,0.595,-1.89,-159.0,-602.0,0.98,1.6,-5.7
short,200,無,80,150,13:20,84,0.595,7.49,629.0,-570.0,1.1,7.0,8.0
short,200,無,80,150,13:30,84,0.595,12.87,1081.0,-576.0,1.18,7.8,18.4
short,200,無,80,150,13:44,84,0.607,14.02,1178.0,-575.0,1.19,5.6,23.3
short,200,無,80,200,12:00,84,0.524,12.25,1029.0,-544.0,1.16,8.0,16.9
short,200,無,80,200,12:30,84,0.548,13.68,1149.0,-599.0,1.17,11.8,15.8
short,200,無,80,200,13:00,84,0.548,2.6,218.0,-584.0,1.03,9.0,-4.5
short,200,無,80,200,13:10,84,0.548,-3.99,-335.0,-602.0,0.96,8.1,-17.3
short,200,無,80,200,13:20,84,0.548,8.17,686.0,-570.0,1.09,14.2,1.5
short,200,無,80,200,13:30,84,0.548,14.19,1192.0,-576.0,1.17,17.4,10.6
short,200,無,80,200,13:44,84,0.548,17.67,1484.0,-575.0,1.21,18.6,16.7
short,200,無,80,250,12:00,84,0.488,16.33,1372.0,-544.0,1.22,8.9,24.5
short,200,無,80,250,12:30,84,0.536,23.81,2000.0,-599.0,1.3,17.2,31.1
short,200,無,80,250,13:00,84,0.536,13.65,1147.0,-584.0,1.15,11.7,15.8
short,200,無,80,250,13:10,84,0.512,4.25,357.0,-602.0,1.04,8.1,0.0
short,200,無,80,250,13:20,84,0.512,15.62,1312.0,-570.0,1.17,14.1,17.3
short,200,無,80,250,13:30,84,0.512,22.61,1899.0,-576.0,1.26,19.0,26.6
short,200,無,80,250,13:44,84,0.512,25.67,2156.0,-575.0,1.29,20.9,30.9
short,200,無,90,50,12:00,85,0.812,10.67,907.0,-383.0,1.38,-7.8,31.4
short,200,無,90,50,12:30,85,0.824,7.41,630.0,-439.0,1.23,-11.0,28.1
short,200,無,90,50,13:00,85,0.824,6.05,514.0,-425.0,1.18,-10.3,24.5
short,200,無,90,50,13:10,85,0.824,3.91,332.0,-404.0,1.11,-12.7,22.6
short,200,無,90,50,13:20,85,0.824,7.95,676.0,-367.0,1.25,-7.1,24.9
short,200,無,90,50,13:30,85,0.824,8.36,711.0,-329.0,1.27,-8.8,27.6
short,200,無,90,50,13:44,85,0.824,6.54,556.0,-460.0,1.2,-9.8,25.0
short,200,無,90,75,12:00,85,0.718,5.05,429.0,-554.0,1.11,1.2,9.4
short,200,無,90,75,12:30,85,0.729,2.62,223.0,-609.0,1.05,-2.0,7.8
short,200,無,90,75,13:00,85,0.741,1.25,106.0,-594.0,1.02,-3.4,6.5
short,200,無,90,75,13:10,85,0.729,-4.33,-368.0,-612.0,0.92,-8.5,0.3
short,200,無,90,75,13:20,85,0.729,-0.26,-22.0,-580.0,1.0,-3.5,3.4
short,200,無,90,75,13:30,85,0.729,2.59,220.0,-586.0,1.05,-3.0,8.9
short,200,無,90,75,13:44,85,0.741,5.82,495.0,-585.0,1.12,-5.1,18.2
short,200,無,90,100,12:00,85,0.671,12.21,1038.0,-554.0,1.23,4.8,20.6
short,200,無,90,100,12:30,85,0.682,10.46,889.0,-609.0,1.19,4.2,17.5
short,200,無,90,100,13:00,85,0.706,6.96,592.0,-594.0,1.12,5.4,8.7
short,200,無,90,100,13:10,85,0.682,-0.54,-46.0,-612.0,0.99,0.6,-1.9
short,200,無,90,100,13:20,85,0.682,5.07,431.0,-580.0,1.08,6.1,4.0
short,200,無,90,100,13:30,85,0.694,7.93,674.0,-586.0,1.13,6.8,9.2
short,200,無,90,100,13:44,85,0.694,10.87,924.0,-585.0,1.19,4.9,17.6
short,200,無,90,150,12:00,85,0.576,11.39,968.0,-554.0,1.17,11.1,11.7
short,200,無,90,150,12:30,85,0.6,12.13,1031.0,-609.0,1.17,14.2,9.8
short,200,無,90,150,13:00,85,0.612,3.39,288.0,-594.0,1.04,11.8,-6.1
short,200,無,90,150,13:10,85,0.588,-2.27,-193.0,-612.0,0.97,12.1,-18.4
short,200,無,90,150,13:20,85,0.6,6.42,546.0,-580.0,1.08,17.0,-5.4
short,200,無,90,150,13:30,85,0.612,13.22,1124.0,-586.0,1.18,18.0,7.8
short,200,無,90,150,13:44,85,0.612,15.89,1351.0,-585.0,1.22,14.6,17.3
short,200,無,90,200,12:00,85,0.529,12.55,1067.0,-554.0,1.17,12.0,13.2
short,200,無,90,200,12:30,85,0.565,14.93,1269.0,-609.0,1.19,17.3,12.3
short,200,無,90,200,13:00,85,0.553,4.45,378.0,-594.0,1.05,15.5,-8.0
short,200,無,90,200,13:10,85,0.529,-1.41,-120.0,-612.0,0.99,15.8,-20.8
short,200,無,90,200,13:20,85,0.553,10.59,900.0,-580.0,1.12,21.8,-2.0
short,200,無,90,200,13:30,85,0.553,16.61,1412.0,-586.0,1.2,24.8,7.4
short,200,無,90,200,13:44,85,0.541,19.12,1625.0,-585.0,1.23,24.0,13.7
short,200,無,90,250,12:00,85,0.482,12.94,1100.0,-554.0,1.17,6.2,20.5
short,200,無,90,250,12:30,85,0.541,20.98,1783.0,-609.0,1.26,15.3,27.3
short,200,無,90,250,13:00,85,0.529,12.0,1020.0,-594.0,1.13,12.0,12.0
short,200,無,90,250,13:10,85,0.494,2.06,175.0,-612.0,1.02,7.2,-3.8
short,200,無,90,250,13:20,85,0.518,12.62,1073.0,-580.0,1.14,11.8,13.6
short,200,無,90,250,13:30,85,0.506,19.18,1630.0,-586.0,1.21,15.7,23.0
short,200,無,90,250,13:44,85,0.494,21.87,1859.0,-585.0,1.24,16.8,27.6
short,200,無,100,50,12:00,86,0.802,3.36,289.0,-564.0,1.1,-9.2,17.8
short,200,無,100,50,12:30,86,0.814,3.83,329.0,-439.0,1.11,-12.7,22.8
short,200,無,100,50,13:00,86,0.814,4.12,354.0,-425.0,1.12,-12.2,22.9
short,200,無,100,50,13:10,86,0.814,1.12,96.0,-404.0,1.03,-16.5,21.3
short,200,無,100,50,13:20,86,0.814,3.88,334.0,-426.0,1.11,-11.1,21.1
short,200,無,100,50,13:30,86,0.814,4.16,358.0,-525.0,1.12,-10.7,21.2
short,200,無,100,50,13:44,86,0.814,6.23,536.0,-460.0,1.19,-12.0,27.2
short,200,無,100,75,12:00,86,0.709,0.53,46.0,-564.0,1.01,-6.8,8.9
short,200,無,100,75,12:30,86,0.709,-1.23,-106.0,-619.0,0.98,-10.4,9.3
short,200,無,100,75,13:00,86,0.721,-1.83,-157.0,-604.0,0.97,-9.5,7.0
short,200,無,100,75,13:10,86,0.709,-8.88,-764.0,-622.0,0.85,-14.2,-2.8
short,200,無,100,75,13:20,86,0.709,-4.58,-394.0,-590.0,0.92,-8.9,0.4
short,200,無,100,75,13:30,86,0.709,-1.91,-164.0,-596.0,0.96,-8.2,5.3
short,200,無,100,75,13:44,86,0.721,0.55,47.0,-595.0,1.01,-10.1,12.8
short,200,無,100,100,12:00,86,0.686,13.22,1137.0,-564.0,1.25,5.4,22.2
short,200,無,100,100,12:30,86,0.698,13.2,1135.0,-619.0,1.24,4.8,22.8
short,200,無,100,100,13:00,86,0.709,10.21,878.0,-604.0,1.18,4.5,16.7
short,200,無,100,100,13:10,86,0.698,3.62,311.0,-622.0,1.06,1.6,6.0
short,200,無,100,100,13:20,86,0.698,9.26,796.0,-590.0,1.16,6.9,12.0
short,200,無,100,100,13:30,86,0.698,12.01,1033.0,-596.0,1.21,7.6,17.1
short,200,無,100,100,13:44,86,0.709,15.08,1297.0,-595.0,1.28,5.7,25.9
short,200,無,100,150,12:00,86,0.57,9.83,845.0,-564.0,1.14,12.7,6.6
short,200,無,100,150,12:30,86,0.593,11.67,1004.0,-619.0,1.16,15.7,7.1
short,200,無,100,150,13:00,86,0.605,3.52,303.0,-604.0,1.04,13.3,-7.8
short,200,無,100,150,13:10,86,0.593,-2.09,-180.0,-622.0,0.98,13.7,-20.2
short,200,無,100,150,13:20,86,0.605,6.94,597.0,-590.0,1.09,18.4,-6.2
short,200,無,100,150,13:30,86,0.605,14.07,1210.0,-596.0,1.19,19.7,7.6
short,200,無,100,150,13:44,86,0.616,16.93,1456.0,-595.0,1.23,16.3,17.6
short,200,無,100,200,12:00,86,0.535,14.84,1276.0,-564.0,1.2,14.4,15.3
short,200,無,100,200,12:30,86,0.57,19.01,1635.0,-619.0,1.24,19.6,18.4
short,200,無,100,200,13:00,86,0.558,9.92,853.0,-604.0,1.11,17.8,0.8
short,200,無,100,200,13:10,86,0.547,4.03,347.0,-622.0,1.04,18.1,-12.2
short,200,無,100,200,13:20,86,0.57,15.99,1375.0,-590.0,1.19,24.0,6.8
short,200,無,100,200,13:30,86,0.558,21.59,1857.0,-596.0,1.27,26.2,16.3
short,200,無,100,200,13:44,86,0.558,24.16,2078.0,-595.0,1.3,25.2,22.9
short,200,無,100,250,12:00,86,0.488,13.59,1169.0,-564.0,1.17,4.8,23.7
short,200,無,100,250,12:30,86,0.535,22.8,1961.0,-619.0,1.29,12.7,34.4
short,200,無,100,250,13:00,86,0.523,14.6,1256.0,-604.0,1.16,8.3,21.8
short,200,無,100,250,13:10,86,0.5,5.08,437.0,-622.0,1.05,4.4,5.8
short,200,無,100,250,13:20,86,0.523,15.58,1340.0,-590.0,1.17,8.8,23.4
short,200,無,100,250,13:30,86,0.5,20.87,1795.0,-596.0,1.23,10.4,33.0
short,200,無,100,250,13:44,86,0.5,21.49,1848.0,-595.0,1.23,7.2,37.9
short,200,無,110,50,12:00,88,0.784,-4.43,-390.0,-574.0,0.89,-4.8,-4.0
short,200,無,110,50,12:30,88,0.795,-4.45,-392.0,-629.0,0.9,-7.6,-0.9
short,200,無,110,50,13:00,88,0.807,-3.65,-321.0,-614.0,0.91,-9.1,2.6
short,200,無,110,50,13:10,88,0.807,-7.91,-696.0,-632.0,0.83,-12.4,-2.7
short,200,無,110,50,13:20,88,0.807,-4.53,-399.0,-600.0,0.9,-7.5,-1.2
short,200,無,110,50,13:30,88,0.807,-2.23,-196.0,-606.0,0.95,-6.8,3.0
short,200,無,110,50,13:44,88,0.818,0.8,70.0,-605.0,1.02,-8.4,11.3
short,200,無,110,75,12:00,88,0.705,0.56,49.0,-574.0,1.01,-6.3,8.5
short,200,無,110,75,12:30,88,0.716,-0.91,-80.0,-629.0,0.98,-9.9,9.4
short,200,無,110,75,13:00,88,0.727,-1.38,-121.0,-614.0,0.97,-8.8,7.1
short,200,無,110,75,13:10,88,0.716,-8.27,-728.0,-632.0,0.86,-13.4,-2.4
short,200,無,110,75,13:20,88,0.716,-4.07,-358.0,-600.0,0.93,-8.2,0.7
short,200,無,110,75,13:30,88,0.716,-1.45,-128.0,-606.0,0.97,-7.5,5.5
short,200,無,110,75,13:44,88,0.727,1.06,93.0,-605.0,1.02,-9.4,13.0
short,200,無,110,100,12:00,88,0.659,10.09,888.0,-574.0,1.19,6.1,14.7
short,200,無,110,100,12:30,88,0.67,8.6,757.0,-629.0,1.15,5.5,12.1
short,200,無,110,100,13:00,88,0.693,6.72,591.0,-614.0,1.11,5.3,8.4
short,200,無,110,100,13:10,88,0.693,1.98,174.0,-632.0,1.03,2.6,1.3
short,200,無,110,100,13:20,88,0.705,9.36,824.0,-600.0,1.16,7.7,11.2
short,200,無,110,100,13:30,88,0.705,12.72,1119.0,-606.0,1.23,8.4,17.6
short,200,無,110,100,13:44,88,0.716,15.83,1393.0,-605.0,1.29,6.6,26.4
short,200,無,110,150,12:00,88,0.557,4.88,429.0,-574.0,1.07,14.3,-5.9
short,200,無,110,150,12:30,88,0.58,5.42,477.0,-629.0,1.07,17.2,-8.1
short,200,無,110,150,13:00,88,0.591,-1.84,-162.0,-614.0,0.98,14.9,-21.1
short,200,無,110,150,13:10,88,0.58,-7.8,-686.0,-632.0,0.91,15.2,-34.2
short,200,無,110,150,13:20,88,0.602,2.7,238.0,-600.0,1.03,19.9,-17.0
short,200,無,110,150,13:30,88,0.602,8.5,748.0,-606.0,1.11,21.3,-6.2
short,200,無,110,150,13:44,88,0.614,11.0,968.0,-605.0,1.14,18.1,2.9
short,200,無,110,200,12:00,88,0.523,15.07,1326.0,-574.0,1.2,16.9,13.0
short,200,無,110,200,12:30,88,0.568,18.24,1605.0,-629.0,1.23,21.9,14.1
short,200,無,110,200,13:00,88,0.557,9.77,860.0,-614.0,1.11,20.2,-2.2
short,200,無,110,200,13:10,88,0.545,4.35,383.0,-632.0,1.05,20.5,-14.1
short,200,無,110,200,13:20,88,0.568,16.32,1436.0,-600.0,1.19,26.2,5.0
short,200,無,110,200,13:30,88,0.568,22.42,1973.0,-606.0,1.28,28.4,15.6
short,200,無,110,200,13:44,88,0.568,26.11,2298.0,-605.0,1.32,27.4,24.6
short,200,無,110,250,12:00,88,0.477,14.08,1239.0,-574.0,1.18,8.1,21.0
short,200,無,110,250,12:30,88,0.534,22.17,1951.0,-629.0,1.28,15.8,29.5
short,200,無,110,250,13:00,88,0.523,14.58,1283.0,-614.0,1.16,11.5,18.1
short,200,無,110,250,13:10,88,0.5,5.6,493.0,-632.0,1.06,7.7,3.2
short,200,無,110,250,13:20,88,0.523,16.15,1421.0,-600.0,1.18,12.0,20.9
short,200,無,110,250,13:30,88,0.511,21.38,1881.0,-606.0,1.24,13.5,30.4
short,200,無,110,250,13:44,88,0.511,23.73,2088.0,-605.0,1.26,10.4,39.0
short,200,無,120,50,12:00,89,0.775,-2.97,-264.0,-394.0,0.93,-14.3,10.3
short,200,無,120,50,12:30,89,0.787,-5.54,-493.0,-639.0,0.87,-17.8,8.8
short,200,無,120,50,13:00,89,0.809,-2.81,-250.0,-624.0,0.93,-15.0,11.5
short,200,無,120,50,13:10,89,0.809,-6.56,-584.0,-642.0,0.86,-17.0,5.7
short,200,無,120,50,13:20,89,0.809,-1.56,-139.0,-610.0,0.96,-11.4,9.9
short,200,無,120,50,13:30,89,0.809,0.73,65.0,-616.0,1.02,-12.7,16.5
short,200,無,120,50,13:44,89,0.82,0.39,35.0,-615.0,1.01,-13.5,16.7
short,200,無,120,75,12:00,89,0.708,-0.03,-3.0,-584.0,1.0,-5.9,6.9
short,200,無,120,75,12:30,89,0.719,-1.37,-122.0,-639.0,0.97,-9.4,8.1
short,200,無,120,75,13:00,89,0.73,-1.72,-153.0,-624.0,0.97,-8.1,5.8
short,200,無,120,75,13:10,89,0.719,-8.54,-760.0,-642.0,0.86,-12.6,-3.7
short,200,無,120,75,13:20,89,0.719,-4.38,-390.0,-610.0,0.92,-7.6,-0.7
short,200,無,120,75,13:30,89,0.719,-1.8,-160.0,-616.0,0.97,-6.9,4.2
short,200,無,120,75,13:44,89,0.73,0.8,71.0,-615.0,1.02,-8.7,11.9
short,200,無,120,100,12:00,89,0.663,9.45,841.0,-584.0,1.17,6.8,12.6
short,200,無,120,100,12:30,89,0.674,7.98,710.0,-639.0,1.14,6.2,10.1
short,200,無,120,100,13:00,89,0.685,6.11,544.0,-624.0,1.1,5.9,6.3
short,200,無,120,100,13:10,89,0.697,1.49,133.0,-642.0,1.02,3.4,-0.8
short,200,無,120,100,13:20,89,0.708,8.65,770.0,-610.0,1.15,8.6,8.7
short,200,無,120,100,13:30,89,0.708,12.36,1100.0,-616.0,1.22,9.2,16.0
short,200,無,120,100,13:44,89,0.719,15.69,1396.0,-615.0,1.29,7.5,25.3
short,200,無,120,150,12:00,89,0.562,4.12,367.0,-584.0,1.06,15.1,-8.7
short,200,無,120,150,12:30,89,0.584,4.18,372.0,-639.0,1.05,16.9,-10.7
short,200,無,120,150,13:00,89,0.584,-3.12,-278.0,-624.0,0.96,14.4,-23.6
short,200,無,120,150,13:10,89,0.584,-8.88,-790.0,-642.0,0.9,14.9,-36.8
short,200,無,120,150,13:20,89,0.607,2.2,196.0,-610.0,1.03,20.8,-19.5
short,200,無,120,150,13:30,89,0.607,8.44,751.0,-616.0,1.11,22.9,-8.5
short,200,無,120,150,13:44,89,0.618,10.79,960.0,-615.0,1.14,19.8,0.3
short,200,無,120,200,12:00,89,0.528,9.94,885.0,-584.0,1.13,13.6,5.7
short,200,無,120,200,12:30,89,0.562,13.55,1206.0,-639.0,1.17,16.4,10.2
short,200,無,120,200,13:00,89,0.539,3.04,271.0,-624.0,1.03,13.4,-9.1
short,200,無,120,200,13:10,89,0.528,-3.15,-280.0,-642.0,0.97,14.7,-24.0
short,200,無,120,200,13:20,89,0.551,8.67,772.0,-610.0,1.1,21.5,-6.3
short,200,無,120,200,13:30,89,0.551,13.08,1164.0,-616.0,1.15,21.3,3.4
short,200,無,120,200,13:44,89,0.551,13.74,1223.0,-615.0,1.15,17.1,9.8
short,200,無,120,250,12:00,89,0.483,11.29,1005.0,-584.0,1.14,8.3,14.8
short,200,無,120,250,12:30,89,0.539,17.73,1578.0,-639.0,1.22,13.2,23.0
short,200,無,120,250,13:00,89,0.517,9.55,850.0,-624.0,1.1,7.6,11.9
short,200,無,120,250,13:10,89,0.506,0.57,51.0,-642.0,1.01,4.3,-3.8
short,200,無,120,250,13:20,89,0.528,11.39,1014.0,-610.0,1.12,10.2,12.8
short,200,無,120,250,13:30,89,0.517,17.09,1521.0,-616.0,1.19,12.2,22.8
short,200,無,120,250,13:44,89,0.517,18.39,1637.0,-615.0,1.2,9.3,29.1
short,200,無,130,50,12:00,91,0.769,-2.27,-207.0,-397.0,0.94,-16.0,14.5
short,200,無,130,50,12:30,91,0.791,-5.21,-474.0,-642.0,0.88,-18.8,11.3
short,200,無,130,50,13:00,91,0.813,-1.99,-181.0,-627.0,0.95,-16.1,15.2
short,200,無,130,50,13:10,91,0.813,-5.43,-494.0,-645.0,0.88,-19.8,12.1
short,200,無,130,50,13:20,91,0.813,-1.33,-121.0,-613.0,0.97,-14.4,14.7
short,200,無,130,50,13:30,91,0.813,1.22,111.0,-619.0,1.03,-13.9,19.6
short,200,無,130,50,13:44,91,0.824,0.52,47.0,-618.0,1.01,-14.9,19.4
short,200,無,130,75,12:00,91,0.714,2.34,213.0,-594.0,1.05,-5.4,11.8
short,200,無,130,75,12:30,91,0.725,0.65,59.0,-642.0,1.01,-8.8,12.2
short,200,無,130,75,13:00,91,0.736,-0.52,-47.0,-627.0,0.99,-7.5,8.0
short,200,無,130,75,13:10,91,0.747,-3.11,-283.0,-645.0,0.95,-10.2,5.6
short,200,無,130,75,13:20,91,0.747,0.65,59.0,-613.0,1.01,-5.3,8.0
short,200,無,130,75,13:30,91,0.747,1.98,180.0,-619.0,1.04,-4.7,10.1
short,200,無,130,75,13:44,91,0.758,4.76,433.0,-618.0,1.09,-6.4,18.4
short,200,無,130,100,12:00,91,0.681,13.67,1244.0,-594.0,1.26,7.3,21.5
short,200,無,130,100,12:30,91,0.703,13.21,1202.0,-642.0,1.24,6.7,21.1
short,200,無,130,100,13:00,91,0.714,11.96,1088.0,-627.0,1.21,8.5,16.2
short,200,無,130,100,13:10,91,0.725,8.89,809.0,-645.0,1.15,6.1,12.3
short,200,無,130,100,13:20,91,0.736,14.9,1356.0,-613.0,1.26,11.2,19.5
short,200,無,130,100,13:30,91,0.736,17.05,1552.0,-619.0,1.31,11.8,23.5
short,200,無,130,100,13:44,91,0.747,20.42,1858.0,-618.0,1.39,10.1,33.0
short,200,無,130,150,12:00,91,0.571,6.97,634.0,-594.0,1.09,16.0,-4.1
short,200,無,130,150,12:30,91,0.604,8.87,807.0,-642.0,1.12,17.7,-2.0
short,200,無,130,150,13:00,91,0.604,1.91,174.0,-627.0,1.02,17.7,-17.3
short,200,無,130,150,13:10,91,0.604,-3.16,-288.0,-645.0,0.96,18.8,-29.9
short,200,無,130,150,13:20,91,0.626,7.45,678.0,-613.0,1.09,24.5,-13.4
short,200,無,130,150,13:30,91,0.626,12.88,1172.0,-619.0,1.17,26.9,-4.2
short,200,無,130,150,13:44,91,0.637,15.03,1368.0,-618.0,1.19,23.9,4.2
short,200,無,130,200,12:00,91,0.527,11.53,1049.0,-594.0,1.15,15.2,7.1
short,200,無,130,200,12:30,91,0.571,16.15,1470.0,-642.0,1.2,17.9,14.0
short,200,無,130,200,13:00,91,0.549,6.74,613.0,-627.0,1.08,17.4,-6.2
short,200,無,130,200,13:10,91,0.538,0.67,61.0,-645.0,1.01,19.1,-21.8
short,200,無,130,200,13:20,91,0.56,12.59,1146.0,-613.0,1.14,26.8,-4.7
short,200,無,130,200,13:30,91,0.56,16.52,1503.0,-619.0,1.19,26.7,4.1
short,200,無,130,200,13:44,91,0.56,16.23,1477.0,-618.0,1.18,22.6,8.4
short,200,無,130,250,12:00,91,0.484,10.12,921.0,-594.0,1.13,8.5,12.0
