side,c_min,filt,k,tgt,ex,n,winrate,avg,total,max_loss,pf,avg_h1,avg_h2
short,100,無,100,75,13:10,95,0.695,-11.21,-1065.0,-622.0,0.82,-17.3,-2.8
short,100,無,100,75,13:20,95,0.695,-7.34,-697.0,-590.0,0.87,-12.9,0.4
short,100,無,100,75,13:30,95,0.684,-6.06,-576.0,-596.0,0.89,-14.3,5.3
short,100,無,100,75,13:44,95,0.695,-3.78,-359.0,-595.0,0.93,-15.8,12.8
short,100,無,100,100,12:00,95,0.642,9.13,867.0,-564.0,1.17,-0.4,22.2
short,100,無,100,100,12:30,95,0.674,9.46,899.0,-619.0,1.17,-0.3,22.8
short,100,無,100,100,13:00,95,0.695,6.88,654.0,-604.0,1.12,-0.3,16.7
short,100,無,100,100,13:10,95,0.684,0.48,46.0,-622.0,1.01,-3.5,6.0
short,100,無,100,100,13:20,95,0.684,5.49,522.0,-590.0,1.09,0.8,12.0
short,100,無,100,100,13:30,95,0.674,6.53,620.0,-596.0,1.11,-1.2,17.1
short,100,無,100,100,13:44,95,0.684,9.62,914.0,-595.0,1.17,-2.2,25.9
short,100,無,100,150,12:00,95,0.537,6.58,625.0,-564.0,1.1,6.6,6.6
short,100,無,100,150,12:30,95,0.579,7.69,731.0,-619.0,1.11,8.1,7.1
short,100,無,100,150,13:00,95,0.589,0.23,22.0,-604.0,1.0,6.1,-7.8
short,100,無,100,150,13:10,95,0.589,-4.93,-468.0,-622.0,0.94,6.2,-20.2
short,100,無,100,150,13:20,95,0.6,3.41,324.0,-590.0,1.04,10.4,-6.2
short,100,無,100,150,13:30,95,0.589,8.33,791.0,-596.0,1.11,8.8,7.6
short,100,無,100,150,13:44,95,0.6,11.35,1078.0,-595.0,1.16,6.8,17.6
short,100,無,100,200,12:00,95,0.505,10.68,1015.0,-564.0,1.15,7.3,15.3
short,100,無,100,200,12:30,95,0.547,12.61,1198.0,-619.0,1.17,8.4,18.4
short,100,無,100,200,13:00,95,0.537,4.43,421.0,-604.0,1.05,7.1,0.8
short,100,無,100,200,13:10,95,0.537,-1.33,-126.0,-622.0,0.99,6.6,-12.2
short,100,無,100,200,13:20,95,0.558,9.16,870.0,-590.0,1.11,10.9,6.8
short,100,無,100,200,13:30,95,0.537,12.68,1205.0,-596.0,1.16,10.1,16.3
short,100,無,100,200,13:44,95,0.537,14.64,1391.0,-595.0,1.18,8.6,22.9
short,100,無,100,250,12:00,95,0.463,9.56,908.0,-564.0,1.13,-0.7,23.7
short,100,無,100,250,12:30,95,0.516,16.04,1524.0,-619.0,1.21,2.7,34.4
short,100,無,100,250,13:00,95,0.505,8.67,824.0,-604.0,1.1,-0.9,21.8
short,100,無,100,250,13:10,95,0.495,-0.38,-36.0,-622.0,1.0,-4.9,5.8
short,100,無,100,250,13:20,95,0.516,8.79,835.0,-590.0,1.1,-1.8,23.4
short,100,無,100,250,13:30,95,0.484,12.03,1143.0,-596.0,1.14,-3.2,33.0
short,100,無,100,250,13:44,95,0.484,12.22,1161.0,-595.0,1.13,-6.4,37.9
short,100,無,110,50,12:00,97,0.732,-7.51,-728.0,-574.0,0.82,-10.0,-4.0
short,100,無,110,50,12:30,97,0.763,-7.75,-752.0,-629.0,0.82,-12.8,-0.9
short,100,無,110,50,13:00,97,0.773,-6.82,-662.0,-614.0,0.84,-13.7,2.6
short,100,無,110,50,13:10,97,0.784,-11.2,-1086.0,-632.0,0.77,-17.4,-2.7
short,100,無,110,50,13:20,97,0.784,-7.9,-766.0,-600.0,0.83,-12.8,-1.2
short,100,無,110,50,13:30,97,0.773,-6.89,-668.0,-606.0,0.84,-14.1,3.0
short,100,無,110,50,13:44,97,0.794,-3.98,-386.0,-605.0,0.9,-15.2,11.3
short,100,無,110,75,12:00,97,0.66,-2.46,-239.0,-574.0,0.95,-10.5,8.5
short,100,無,110,75,12:30,97,0.691,-3.76,-365.0,-629.0,0.93,-13.4,9.4
