date,yr,pnl,w
2023-09-11,2023,-144.0,2023-W37
2023-09-13,2023,8.0,2023-W37
2023-09-18,2023,20.0,2023-W38
2023-09-20,2023,-57.0,2023-W38
2023-09-21,2023,174.0,2023-W38
2023-09-22,2023,-146.0,2023-W38
2023-09-27,2023,-71.0,2023-W39
2023-10-04,2023,-40.0,2023-W40
2023-10-05,2023,156.0,2023-W40
2023-10-06,2023,45.0,2023-W40
2023-10-11,2023,-87.0,2023-W41
2023-10-16,2023,-8.0,2023-W42
2023-10-18,2023,-185.0,2023-W42
2023-10-19,2023,-111.0,2023-W42
2023-10-20,2023,40.0,2023-W42
2023-10-23,2023,90.0,2023-W43
2023-10-24,2023,60.0,2023-W43
2023-10-26,2023,-16.0,2023-W43
2023-10-27,2023,13.0,2023-W43
2023-10-30,2023,44.0,2023-W44
2023-10-31,2023,189.0,2023-W44
2023-11-02,2023,-46.0,2023-W44
2023-11-03,2023,-14.0,2023-W44
2023-11-06,2023,18.0,2023-W45
2023-11-07,2023,76.0,2023-W45
2023-11-10,2023,64.0,2023-W45
2023-11-13,2023,20.0,2023-W46
2023-11-14,2023,-18.0,2023-W46
2023-11-15,2023,-12.0,2023-W46
2023-11-22,2023,14.0,2023-W47
2023-11-28,2023,135.0,2023-W48
2023-11-29,2023,-2.0,2023-W48
2023-12-01,2023,79.0,2023-W48
2023-12-05,2023,-31.0,2023-W49
2023-12-06,2023,16.0,2023-W49
2023-12-07,2023,-52.0,2023-W49
2023-12-08,2023,16.0,2023-W49
2023-12-12,2023,24.0,2023-W50
2023-12-14,2023,62.0,2023-W50
2023-12-15,2023,66.0,2023-W50
2023-12-19,2023,-21.0,2023-W51
2023-12-21,2023,44.0,2023-W51
2023-12-22,2023,7.0,2023-W51
2023-12-29,2023,18.0,2023-W52
2024-01-02,2024,-45.0,2024-W01
2024-01-03,2024,-75.0,2024-W01
2024-01-04,2024,22.0,2024-W01
2024-01-05,2024,-64.0,2024-W01
2024-01-09,2024,69.0,2024-W02
2024-01-11,2024,83.0,2024-W02
2024-01-15,2024,-15.0,2024-W03
2024-01-16,2024,-160.0,2024-W03
2024-01-18,2024,41.0,2024-W03
2024-01-19,2024,-99.0,2024-W03
2024-01-22,2024,-2.0,2024-W04
2024-01-26,2024,47.0,2024-W04
2024-01-29,2024,80.0,2024-W05
2024-01-31,2024,62.0,2024-W05
2024-02-01,2024,-13.0,2024-W05
2024-02-15,2024,-95.0,2024-W07
2024-02-16,2024,-33.0,2024-W07
2024-02-19,2024,-6.0,2024-W08
2024-02-20,2024,119.0,2024-W08
2024-02-21,2024,59.0,2024-W08
2024-02-22,2024,48.0,2024-W08
2024-02-23,2024,39.0,2024-W08
2024-02-26,2024,-51.0,2024-W09
2024-02-29,2024,-157.0,2024-W09
2024-03-01,2024,11.0,2024-W09
2024-03-04,2024,-28.0,2024-W10
2024-03-05,2024,17.0,2024-W10
2024-03-06,2024,129.0,2024-W10
2024-03-07,2024,-41.0,2024-W10
2024-03-08,2024,163.0,2024-W10
2024-03-11,2024,53.0,2024-W11
2024-03-12,2024,-244.0,2024-W11
2024-03-13,2024,25.0,2024-W11
2024-03-14,2024,22.0,2024-W11
2024-03-15,2024,99.0,2024-W11
2024-03-18,2024,130.0,2024-W12
2024-03-19,2024,49.0,2024-W12
2024-03-20,2024,-28.0,2024-W12
2024-03-21,2024,220.0,2024-W12
2024-03-22,2024,-72.0,2024-W12
2024-03-26,2024,-89.0,2024-W13
2024-03-27,2024,77.0,2024-W13
2024-04-02,2024,165.0,2024-W14
2024-04-03,2024,22.0,2024-W14
2024-04-11,2024,-49.0,2024-W15
2024-04-12,2024,-17.0,2024-W15
2024-04-15,2024,39.0,2024-W16
2024-04-16,2024,337.0,2024-W16
2024-04-18,2024,74.0,2024-W16
2024-04-19,2024,315.0,2024-W16
2024-04-22,2024,10.0,2024-W17
2024-04-23,2024,30.0,2024-W17
2024-04-24,2024,-47.0,2024-W17
2024-04-25,2024,-64.0,2024-W17
2024-04-26,2024,49.0,2024-W17
2024-04-29,2024,-1.0,2024-W18
2024-05-02,2024,68.0,2024-W18
2024-05-03,2024,81.0,2024-W18
2024-05-06,2024,81.0,2024-W19
2024-05-07,2024,-17.0,2024-W19
2024-05-08,2024,105.0,2024-W19
2024-05-10,2024,83.0,2024-W19
2024-05-16,2024,104.0,2024-W20
2024-05-17,2024,31.0,2024-W20
2024-05-20,2024,-137.0,2024-W21
2024-05-21,2024,-78.0,2024-W21
2024-05-22,2024,290.0,2024-W21
2024-05-23,2024,-16.0,2024-W21
2024-05-24,2024,117.0,2024-W21
2024-05-27,2024,197.0,2024-W22
2024-05-29,2024,-144.0,2024-W22
2024-05-30,2024,113.0,2024-W22
2024-05-31,2024,-228.0,2024-W22
2024-06-03,2024,183.0,2024-W23
2024-06-05,2024,119.0,2024-W23
2024-06-06,2024,-5.0,2024-W23
2024-06-07,2024,60.0,2024-W23
2024-06-13,2024,87.0,2024-W24
2024-06-17,2024,58.0,2024-W25
2024-06-21,2024,163.0,2024-W25
2024-06-24,2024,299.0,2024-W26
2024-06-25,2024,34.0,2024-W26
2024-06-26,2024,62.0,2024-W26
2024-06-27,2024,179.0,2024-W26
2024-06-28,2024,57.0,2024-W26
2024-07-09,2024,-60.0,2024-W28
2024-07-10,2024,252.0,2024-W28
2024-07-11,2024,-71.0,2024-W28
2024-07-12,2024,-212.0,2024-W28
2024-07-15,2024,-232.0,2024-W29
2024-07-18,2024,64.0,2024-W29
2024-07-22,2024,-540.0,2024-W30
2024-07-23,2024,-68.0,2024-W30
2024-07-26,2024,-41.0,2024-W30
2024-07-29,2024,-164.0,2024-W31
2024-07-30,2024,321.0,2024-W31
2024-07-31,2024,36.0,2024-W31
2024-08-01,2024,-101.0,2024-W31
2024-08-02,2024,-35.0,2024-W31
2024-08-05,2024,-704.0,2024-W32
2024-08-06,2024,-30.0,2024-W32
2024-08-07,2024,645.0,2024-W32
2024-08-08,2024,143.0,2024-W32
2024-08-09,2024,-21.0,2024-W32
2024-08-12,2024,74.0,2024-W33
2024-08-14,2024,89.0,2024-W33
2024-08-15,2024,-150.0,2024-W33
2024-08-16,2024,-59.0,2024-W33
2024-08-19,2024,-47.0,2024-W34
2024-08-21,2024,83.0,2024-W34
2024-08-23,2024,-49.0,2024-W34
2024-08-26,2024,198.0,2024-W35
2024-08-27,2024,-16.0,2024-W35
2024-08-29,2024,-218.0,2024-W35
2024-08-30,2024,19.0,2024-W35
2024-09-02,2024,79.0,2024-W36
2024-09-03,2024,239.0,2024-W36
2024-09-04,2024,4.0,2024-W36
2024-09-06,2024,104.0,2024-W36
2024-09-09,2024,251.0,2024-W37
2024-09-10,2024,125.0,2024-W37
2024-09-11,2024,-103.0,2024-W37
2024-09-12,2024,-34.0,2024-W37
2024-09-13,2024,38.0,2024-W37
2024-09-19,2024,-303.0,2024-W38
2024-09-20,2024,101.0,2024-W38
2024-09-23,2024,-40.0,2024-W39
2024-09-27,2024,191.0,2024-W39
2024-09-30,2024,348.0,2024-W40
2024-10-01,2024,139.0,2024-W40
2024-10-07,2024,211.0,2024-W41
2024-10-08,2024,-29.0,2024-W41
2024-10-11,2024,86.0,2024-W41
2024-10-16,2024,112.0,2024-W42
2024-10-23,2024,-109.0,2024-W43
2024-10-24,2024,73.0,2024-W43
2024-10-28,2024,-326.0,2024-W44
2024-10-29,2024,-171.0,2024-W44
2024-10-30,2024,222.0,2024-W44
2024-11-01,2024,167.0,2024-W44
2024-11-05,2024,328.0,2024-W45
2024-11-06,2024,60.0,2024-W45
2024-11-07,2024,-112.0,2024-W45
2024-11-08,2024,-41.0,2024-W45
2024-11-11,2024,14.0,2024-W46
2024-11-12,2024,126.0,2024-W46
2024-11-13,2024,15.0,2024-W46
2024-11-14,2024,-8.0,2024-W46
2024-11-15,2024,47.0,2024-W46
2024-11-18,2024,-63.0,2024-W47
2024-11-21,2024,-86.0,2024-W47
2024-11-22,2024,229.0,2024-W47
2024-11-25,2024,-191.0,2024-W48
2024-11-27,2024,266.0,2024-W48
2024-11-28,2024,-25.0,2024-W48
2024-11-29,2024,-87.0,2024-W48
2024-12-03,2024,-71.0,2024-W49
2024-12-04,2024,93.0,2024-W49
2024-12-06,2024,154.0,2024-W49
2024-12-10,2024,-150.0,2024-W50
2024-12-11,2024,146.0,2024-W50
2024-12-12,2024,-2.0,2024-W50
2024-12-13,2024,1.0,2024-W50
2024-12-16,2024,273.0,2024-W51
2024-12-17,2024,141.0,2024-W51
2024-12-18,2024,-181.0,2024-W51
2024-12-19,2024,53.0,2024-W51
2024-12-20,2024,140.0,2024-W51
2024-12-23,2024,339.0,2024-W52
2024-12-24,2024,112.0,2024-W52
2024-12-30,2024,37.0,2025-W01
2024-12-31,2024,-42.0,2025-W01
2025-01-02,2025,-95.0,2025-W01
2025-01-06,2025,-187.0,2025-W02
2025-01-07,2025,173.0,2025-W02
2025-01-08,2025,97.0,2025-W02
2025-01-09,2025,-173.0,2025-W02
2025-01-10,2025,-30.0,2025-W02
2025-01-13,2025,-449.0,2025-W03
2025-01-14,2025,169.0,2025-W03
2025-01-16,2025,-9.0,2025-W03
2025-01-20,2025,-12.0,2025-W04
2025-01-21,2025,-70.0,2025-W04
2025-02-03,2025,-122.0,2025-W06
2025-02-04,2025,92.0,2025-W06
2025-02-05,2025,66.0,2025-W06
2025-02-06,2025,23.0,2025-W06
2025-02-10,2025,74.0,2025-W07
2025-02-12,2025,-116.0,2025-W07
2025-02-14,2025,-159.0,2025-W07
2025-02-20,2025,17.0,2025-W08
2025-02-24,2025,-74.0,2025-W09
2025-02-25,2025,8.0,2025-W09
2025-02-26,2025,95.0,2025-W09
2025-02-27,2025,142.0,2025-W09
2025-03-03,2025,72.0,2025-W10
2025-03-04,2025,135.0,2025-W10
2025-03-06,2025,64.0,2025-W10
2025-03-07,2025,59.0,2025-W10
2025-03-10,2025,-12.0,2025-W11
2025-03-11,2025,89.0,2025-W11
2025-03-12,2025,132.0,2025-W11
2025-03-13,2025,451.0,2025-W11
2025-03-14,2025,-163.0,2025-W11
2025-03-17,2025,117.0,2025-W12
2025-03-19,2025,201.0,2025-W12
2025-03-21,2025,-144.0,2025-W12
2025-03-24,2025,-146.0,2025-W13
2025-03-25,2025,12.0,2025-W13
2025-03-26,2025,-95.0,2025-W13
2025-03-27,2025,-91.0,2025-W13
2025-03-28,2025,-106.0,2025-W13
2025-03-31,2025,125.0,2025-W14
2025-04-01,2025,158.0,2025-W14
2025-04-08,2025,233.0,2025-W15
2025-04-09,2025,224.0,2025-W15
2025-04-10,2025,-2.0,2025-W15
2025-04-11,2025,503.0,2025-W15
2025-04-14,2025,153.0,2025-W16
2025-04-17,2025,-91.0,2025-W16
2025-04-18,2025,-16.0,2025-W16
2025-04-21,2025,-245.0,2025-W17
2025-04-22,2025,62.0,2025-W17
2025-04-23,2025,-184.0,2025-W17
2025-04-24,2025,70.0,2025-W17
2025-04-25,2025,51.0,2025-W17
2025-04-29,2025,174.0,2025-W18
2025-04-30,2025,58.0,2025-W18
2025-05-05,2025,-51.0,2025-W19
2025-05-06,2025,187.0,2025-W19
2025-05-07,2025,53.0,2025-W19
