date,o0900,p10,c1330,hi_am,lo_am,m_drift,pm_drift,full,sox,yr,pnl
2005-01-04,6143.12,6085.98,6060.46,6143.12,6088.77,-57.14000000000033,-25.519999999999527,-82.65999999999985,-0.020885740001384767,2005,-57.14000000000033
2005-01-05,6060.46,6021.15,5988.37,6060.46,5998.28,-39.3100000000004,-32.779999999999745,-72.09000000000015,-0.03276292839296657,2005,-39.3100000000004
2005-01-06,5988.37,5991.66,5982.12,6002.2,5971.58,3.2899999999999636,-9.539999999999964,-6.25,-0.014889365435227675,2005,6.25
2005-01-07,5982.12,5940.33,5935.99,6007.34,5947.3,-41.789999999999964,-4.3400000000001455,-46.13000000000011,-0.005219542362399521,2005,-46.13000000000011
2005-01-10,5935.99,5952.96,5942.85,5962.64,5929.11,16.970000000000255,-10.109999999999673,6.860000000000582,0.01347789327100024,2005,6.860000000000582
2005-01-11,5942.85,5944.92,5975.66,5963.98,5942.14,2.069999999999709,30.73999999999978,32.80999999999949,-0.0032142506624791567,2005,32.80999999999949
2005-01-12,5975.66,5952.56,5879.08,5978.41,5950.77,-23.099999999999454,-73.48000000000047,-96.57999999999993,-0.024763076923076888,2005,-23.099999999999454
2005-01-13,5879.08,5906.13,5853.94,5921.93,5879.08,27.050000000000182,-52.19000000000051,-25.140000000000327,0.014235594033165766,2005,-25.140000000000327
2005-01-14,5853.94,5853.76,5889.52,5865.94,5813.15,-0.17999999999938154,35.76000000000022,35.58000000000084,-0.014085558569544299,2005,-35.58000000000084
2005-01-17,5889.52,5943.84,5945.27,5960.54,5889.52,54.31999999999971,1.430000000000291,55.75,0.017593457354166064,2005,55.75
2005-01-18,5945.27,5942.37,5933.57,5964.08,5939.79,-2.9000000000005457,-8.800000000000182,-11.700000000000728,0.017593457354166064,2005,-11.700000000000728
2005-01-20,5895.35,5886.54,5888.1,5895.35,5835.68,-8.8100000000004,1.5600000000004002,-7.25,-0.02130119296519495,2005,-8.8100000000004
2005-01-21,5888.1,5862.44,5848.91,5898.86,5851.15,-25.660000000000764,-13.529999999999745,-39.19000000000051,-0.007740832893513239,2005,-39.19000000000051
2005-01-24,5848.91,5840.51,5771.48,5862.62,5822.06,-8.399999999999636,-69.03000000000065,-77.43000000000029,-0.013044249132494024,2005,77.43000000000029
2005-01-25,5771.48,5785.47,5782.75,5796.18,5759.21,13.990000000000691,-2.7200000000002547,11.270000000000437,-0.0169891700456809,2005,-11.270000000000437
2005-01-26,5782.75,5825.72,5835.37,5835.3,5782.75,42.970000000000255,9.649999999999636,52.61999999999989,0.01783103592314106,2005,52.61999999999989
2005-01-27,5835.37,5821.58,5842.76,5855.58,5821.3,-13.789999999999964,21.18000000000029,7.390000000000327,0.02613691743401647,2005,-21.18000000000029
2005-01-31,5879.93,5944.29,5994.23,5944.47,5879.93,64.35999999999967,49.9399999999996,114.29999999999927,-0.010429311070924374,2005,-114.29999999999927
2005-02-01,5994.23,5989.92,5981.54,6015.78,5979.92,-4.309999999999491,-8.38000000000011,-12.6899999999996,0.011265208030841745,2005,-12.6899999999996
