y,exit,n,winrate,avg,med,max_loss,pf
110,13:20,584,0.4709,-9.25,-6.0,-1291.0,0.83
110,13:25,584,0.4606,-11.58,-6.0,-1296.0,0.79
110,13:30,584,0.464,-13.05,-8.0,-1190.0,0.78
110,13:44,584,0.4777,-12.38,-3.0,-1379.0,0.8
120,13:00,595,0.4756,-10.66,-5.0,-1276.0,0.8
120,13:05,595,0.4723,-12.23,-4.0,-1470.0,0.78
120,13:10,595,0.4706,-9.96,-5.0,-1206.0,0.82
120,13:15,595,0.4874,-8.87,-5.0,-1157.0,0.83
120,13:20,595,0.4739,-10.59,-7.0,-1301.0,0.81
120,13:25,595,0.4605,-12.83,-7.0,-1306.0,0.77
120,13:30,595,0.4655,-14.39,-7.0,-1200.0,0.75
120,13:44,595,0.479,-13.83,-3.0,-1389.0,0.77
130,13:00,611,0.4894,-8.37,-2.0,-1286.0,0.84
130,13:05,611,0.4795,-10.26,-3.0,-1480.0,0.81
130,13:10,611,0.4812,-8.27,-4.0,-1216.0,0.85
130,13:15,611,0.4975,-7.1,0.0,-1167.0,0.87
130,13:20,611,0.4795,-8.64,-4.0,-1311.0,0.84
130,13:25,611,0.4697,-10.8,-5.0,-1316.0,0.81
130,13:30,611,0.4746,-12.32,-6.0,-1210.0,0.79
130,13:44,611,0.4894,-11.84,-2.0,-1399.0,0.81
140,13:00,619,0.4895,-8.61,-1.0,-1296.0,0.84
140,13:05,619,0.4782,-10.33,-3.0,-1490.0,0.81
140,13:10,619,0.4814,-8.49,-3.0,-1226.0,0.84
140,13:15,619,0.4976,-7.37,0.0,-1177.0,0.86
140,13:20,619,0.4814,-9.09,-3.0,-1321.0,0.83
140,13:25,619,0.4717,-11.22,-5.0,-1326.0,0.8
140,13:30,619,0.475,-12.88,-5.0,-1220.0,0.78
140,13:44,619,0.4863,-12.87,-2.0,-1409.0,0.79
150,13:00,627,0.4928,-8.21,-1.0,-1306.0,0.85
150,13:05,627,0.4833,-9.84,-2.0,-1500.0,0.82
150,13:10,627,0.4864,-8.03,-3.0,-1236.0,0.85
150,13:15,627,0.5008,-6.93,1.0,-1187.0,0.87
150,13:20,627,0.4864,-8.78,-3.0,-1331.0,0.84
150,13:25,627,0.4721,-10.97,-5.0,-1336.0,0.81
150,13:30,627,0.4753,-12.69,-5.0,-1221.0,0.78
150,13:44,627,0.4896,-12.41,-2.0,-1410.0,0.8
