str_min,agree,m,tgt,ex,B,n,n_loss,n_loss100,winrate,avg,total,max_loss,pf,be
0.0,False,20,150,13:30,120,67,22,10,0.672,60.24,4036.0,-409.0,2.7,0.104
0.0,False,20,150,13:44,0,67,16,12,0.761,64.9,4348.0,-347.0,2.57,0.0
0.0,False,20,150,13:44,50,67,38,8,0.433,36.19,2425.0,-318.0,2.42,0.433
0.0,False,20,150,13:44,80,67,27,11,0.597,48.21,3230.0,-347.0,2.35,0.209
0.0,False,20,150,13:44,120,67,21,11,0.687,61.27,4105.0,-347.0,2.7,0.104
0.0,False,20,200,13:20,0,67,22,15,0.672,57.45,3849.0,-456.0,2.17,0.0
0.0,False,20,200,13:20,50,67,44,8,0.343,36.57,2450.0,-363.0,2.52,0.522
0.0,False,20,200,13:20,80,67,35,12,0.478,44.69,2994.0,-456.0,2.2,0.313
0.0,False,20,200,13:20,120,67,30,12,0.552,55.37,3710.0,-456.0,2.49,0.224
0.0,False,20,200,13:30,0,67,23,12,0.657,59.6,3993.0,-409.0,2.26,0.0
0.0,False,20,200,13:30,50,67,45,8,0.328,34.3,2298.0,-409.0,2.32,0.522
0.0,False,20,200,13:30,80,67,36,10,0.463,46.1,3089.0,-409.0,2.29,0.328
0.0,False,20,200,13:30,120,67,32,10,0.522,54.99,3684.0,-409.0,2.54,0.254
0.0,False,20,200,13:44,0,67,22,16,0.672,57.4,3846.0,-347.0,2.08,0.0
0.0,False,20,200,13:44,50,67,45,8,0.328,33.69,2257.0,-318.0,2.31,0.537
0.0,False,20,200,13:44,80,67,37,11,0.448,42.58,2853.0,-347.0,2.18,0.358
0.0,False,20,200,13:44,120,67,34,11,0.493,51.16,3428.0,-347.0,2.4,0.299
0.0,False,20,250,13:20,0,67,24,16,0.642,63.09,4227.0,-491.0,2.11,0.0
0.0,False,20,250,13:20,50,67,47,8,0.299,37.34,2502.0,-363.0,2.55,0.567
0.0,False,20,250,13:20,80,67,41,12,0.388,38.75,2596.0,-456.0,2.04,0.403
0.0,False,20,250,13:20,120,67,36,12,0.463,50.93,3412.0,-456.0,2.36,0.313
0.0,False,20,250,13:30,0,67,25,13,0.627,63.36,4245.0,-522.0,2.14,0.0
0.0,False,20,250,13:30,50,67,49,8,0.269,33.36,2235.0,-409.0,2.28,0.582
0.0,False,20,250,13:30,80,67,43,10,0.358,38.45,2576.0,-409.0,2.07,0.433
0.0,False,20,250,13:30,120,67,39,10,0.418,48.82,3271.0,-409.0,2.36,0.358
0.0,False,20,250,13:44,0,67,24,17,0.642,61.61,4128.0,-551.0,2.0,0.0
0.0,False,20,250,13:44,50,67,49,8,0.269,32.94,2207.0,-318.0,2.27,0.597
0.0,False,20,250,13:44,80,67,44,11,0.343,35.12,2353.0,-347.0,1.97,0.463
0.0,False,20,250,13:44,120,67,41,11,0.388,45.58,3054.0,-347.0,2.24,0.403
0.0,False,20,300,13:20,0,67,25,17,0.627,51.96,3481.0,-491.0,1.87,0.0
0.0,False,20,300,13:20,50,67,50,8,0.254,28.13,1885.0,-363.0,2.16,0.612
0.0,False,20,300,13:20,80,67,45,12,0.328,25.69,1721.0,-456.0,1.69,0.463
0.0,False,20,300,13:20,120,67,40,12,0.403,38.12,2554.0,-456.0,2.02,0.373
0.0,False,20,300,13:30,0,67,27,14,0.597,53.0,3551.0,-522.0,1.88,0.0
0.0,False,20,300,13:30,50,67,52,8,0.224,25.79,1728.0,-409.0,1.99,0.627
0.0,False,20,300,13:30,80,67,47,10,0.299,26.4,1769.0,-409.0,1.73,0.493
0.0,False,20,300,13:30,120,67,43,10,0.358,37.4,2506.0,-409.0,2.04,0.418
0.0,False,20,300,13:44,0,67,27,19,0.597,47.99,3215.0,-551.0,1.69,0.0
0.0,False,20,300,13:44,50,67,52,8,0.224,24.87,1666.0,-318.0,1.96,0.642
0.0,False,20,300,13:44,80,67,48,11,0.284,22.15,1484.0,-347.0,1.61,0.522
0.0,False,20,300,13:44,120,67,45,11,0.328,34.1,2285.0,-347.0,1.93,0.463
0.0,False,30,150,13:20,0,64,17,14,0.734,50.55,3235.0,-466.0,2.03,0.0
0.0,False,30,150,13:20,50,64,42,8,0.344,18.78,1202.0,-466.0,1.6,0.516
0.0,False,30,150,13:20,80,64,28,11,0.562,41.95,2685.0,-466.0,2.09,0.234
0.0,False,30,150,13:20,120,64,19,13,0.703,50.34,3222.0,-466.0,2.13,0.047
0.0,False,30,150,13:30,0,64,17,12,0.734,58.09,3718.0,-419.0,2.3,0.0
0.0,False,30,150,13:30,50,64,42,8,0.344,21.03,1346.0,-419.0,1.7,0.516
0.0,False,30,150,13:30,80,64,27,9,0.578,47.59,3046.0,-419.0,2.37,0.234
0.0,False,30,150,13:30,120,64,19,11,0.703,56.88,3640.0,-419.0,2.38,0.062
0.0,False,30,150,13:44,0,64,16,12,0.75,60.12,3848.0,-357.0,2.31,0.0
0.0,False,30,150,13:44,50,64,41,8,0.359,22.02,1409.0,-357.0,1.75,0.516
0.0,False,30,150,13:44,80,64,26,10,0.594,48.73,3119.0,-357.0,2.39,0.234
0.0,False,30,150,13:44,120,64,18,11,0.719,60.11,3847.0,-357.0,2.46,0.062
0.0,False,30,200,13:20,0,64,22,15,0.656,54.95,3517.0,-466.0,2.05,0.0
0.0,False,30,200,13:20,50,64,49,8,0.234,13.31,852.0,-466.0,1.42,0.625
0.0,False,30,200,13:20,80,64,38,11,0.406,34.06,2180.0,-466.0,1.88,0.391
0.0,False,30,200,13:20,120,64,31,13,0.516,39.33,2517.0,-466.0,1.88,0.234
0.0,False,30,200,13:30,0,64,22,12,0.656,59.31,3796.0,-419.0,2.22,0.0
0.0,False,30,200,13:30,50,64,49,8,0.234,14.03,898.0,-419.0,1.47,0.625
0.0,False,30,200,13:30,80,64,38,9,0.406,37.17,2379.0,-419.0,2.06,0.406
0.0,False,30,200,13:30,120,64,32,11,0.5,41.58,2661.0,-419.0,2.0,0.266
0.0,False,30,200,13:44,0,64,21,15,0.672,58.22,3726.0,-357.0,2.07,0.0
0.0,False,30,200,13:44,50,64,49,8,0.234,14.2,909.0,-357.0,1.48,0.641
0.0,False,30,200,13:44,80,64,39,10,0.391,34.38,2200.0,-357.0,1.97,0.438
0.0,False,30,200,13:44,120,64,34,11,0.469,41.41,2650.0,-357.0,1.99,0.312
0.0,False,30,250,13:20,0,64,24,16,0.625,60.23,3855.0,-501.0,1.99,0.0
0.0,False,30,250,13:20,50,64,51,8,0.203,15.62,1000.0,-466.0,1.49,0.656
0.0,False,30,250,13:20,80,64,42,11,0.344,34.81,2228.0,-466.0,1.9,0.453
0.0,False,30,250,13:20,120,64,35,13,0.453,41.64,2665.0,-466.0,1.93,0.297
0.0,False,30,250,13:30,0,64,24,13,0.625,62.62,4008.0,-532.0,2.09,0.0
0.0,False,30,250,13:30,50,64,51,8,0.203,16.8,1075.0,-419.0,1.56,0.656
0.0,False,30,250,13:30,80,64,42,9,0.344,38.38,2456.0,-419.0,2.09,0.469
0.0,False,30,250,13:30,120,64,36,11,0.438,44.34,2838.0,-419.0,2.06,0.328
0.0,False,30,250,13:44,0,64,23,16,0.641,61.84,3958.0,-561.0,1.97,0.0
0.0,False,30,250,13:44,50,64,51,8,0.203,17.33,1109.0,-357.0,1.58,0.672
0.0,False,30,250,13:44,80,64,43,10,0.328,35.94,2300.0,-357.0,2.01,0.5
0.0,False,30,250,13:44,120,64,38,11,0.406,44.78,2866.0,-357.0,2.07,0.375
0.0,False,30,300,13:20,0,64,26,17,0.594,46.86,2999.0,-501.0,1.73,0.0
0.0,False,30,300,13:20,50,64,52,8,0.188,14.41,922.0,-466.0,1.46,0.672
0.0,False,30,300,13:20,80,64,45,11,0.297,25.2,1613.0,-466.0,1.65,0.5
0.0,False,30,300,13:20,120,64,38,13,0.406,29.45,1885.0,-466.0,1.65,0.344
0.0,False,30,300,13:30,0,64,26,14,0.594,49.88,3192.0,-532.0,1.8,0.0
0.0,False,30,300,13:30,50,64,52,8,0.188,16.81,1076.0,-419.0,1.56,0.672
0.0,False,30,300,13:30,80,64,45,9,0.297,29.64,1897.0,-419.0,1.84,0.516
0.0,False,30,300,13:30,120,64,39,11,0.391,33.31,2132.0,-419.0,1.8,0.375
0.0,False,30,300,13:44,0,64,26,19,0.594,46.17,2955.0,-561.0,1.64,0.0
0.0,False,30,300,13:44,50,64,52,8,0.188,17.5,1120.0,-357.0,1.59,0.688
0.0,False,30,300,13:44,80,64,46,10,0.281,26.42,1691.0,-357.0,1.74,0.547
0.0,False,30,300,13:44,120,64,41,11,0.359,33.59,2150.0,-357.0,1.8,0.422
0.0,False,40,150,13:20,0,58,14,10,0.759,60.71,3521.0,-476.0,2.5,0.0
