條件,n,勝率,平均
開高(gap>0),372,0.524,-8.49
開低(gap<0),250,0.464,-5.41
早盤漲(m_trend>0),287,0.491,-10.63
早盤跌(m_trend<0),334,0.512,-3.73
區間寬(rng>中位),313,0.521,-12.72
區間窄(rng<中位),312,0.484,-0.42
10點價位偏高(pos10>0.6),248,0.512,-12.89
10點價位偏低(pos10<0.4),281,0.495,-3.59
前日漲,356,0.472,-14.63
前日跌,266,0.549,4.18
