date,yr,pct,pnl,how
2023-08-15,2023,0.0,103.0,close
2023-08-15,2023,0.003,47.587,target
2023-08-15,2023,0.005,80.645,target
2023-08-15,2023,0.0075,103.0,close
2023-08-15,2023,0.01,103.0,close
2023-08-15,2023,0.015,103.0,close
2023-08-16,2023,0.0,-68.0,close
2023-08-16,2023,0.003,-68.0,close
2023-08-16,2023,0.005,-68.0,close
2023-08-16,2023,0.0075,-68.0,close
2023-08-16,2023,0.01,-68.0,close
2023-08-16,2023,0.015,-68.0,close
2023-08-21,2023,0.0,-72.0,close
2023-08-21,2023,0.003,47.26,target
2023-08-21,2023,0.005,-72.0,close
2023-08-21,2023,0.0075,-72.0,close
2023-08-21,2023,0.01,-72.0,close
2023-08-21,2023,0.015,-72.0,close
2023-08-22,2023,0.0,19.0,close
2023-08-22,2023,0.003,19.0,close
2023-08-22,2023,0.005,19.0,close
2023-08-22,2023,0.0075,19.0,close
2023-08-22,2023,0.01,19.0,close
2023-08-22,2023,0.015,19.0,close
2023-08-24,2023,0.0,-5.0,close
2023-08-24,2023,0.003,48.271,target
2023-08-24,2023,0.005,81.785,target
2023-08-24,2023,0.0075,-5.0,close
2023-08-24,2023,0.01,-5.0,close
2023-08-24,2023,0.015,-5.0,close
2023-08-28,2023,0.0,22.0,close
2023-08-28,2023,0.003,47.404,target
2023-08-28,2023,0.005,22.0,close
2023-08-28,2023,0.0075,22.0,close
2023-08-28,2023,0.01,22.0,close
2023-08-28,2023,0.015,22.0,close
2023-08-29,2023,0.0,55.0,close
2023-08-29,2023,0.003,47.713,target
2023-08-29,2023,0.005,55.0,close
2023-08-29,2023,0.0075,55.0,close
2023-08-29,2023,0.01,55.0,close
2023-08-29,2023,0.015,55.0,close
2023-08-30,2023,0.0,39.0,close
2023-08-30,2023,0.003,48.295,target
2023-08-30,2023,0.005,39.0,close
2023-08-30,2023,0.0075,39.0,close
2023-08-30,2023,0.01,39.0,close
2023-08-30,2023,0.015,39.0,close
2023-08-31,2023,0.0,-106.0,close
2023-08-31,2023,0.003,-106.0,close
2023-08-31,2023,0.005,-106.0,close
2023-08-31,2023,0.0075,-106.0,close
2023-08-31,2023,0.01,-106.0,close
2023-08-31,2023,0.015,-106.0,close
2023-09-01,2023,0.0,53.0,close
2023-09-01,2023,0.003,47.785000000000004,target
2023-09-01,2023,0.005,80.97500000000001,target
2023-09-01,2023,0.0075,122.46249999999999,target
2023-09-01,2023,0.01,53.0,close
2023-09-01,2023,0.015,53.0,close
2023-09-04,2023,0.0,129.0,close
2023-09-04,2023,0.003,47.944,target
2023-09-04,2023,0.005,81.24,target
2023-09-04,2023,0.0075,122.86,target
2023-09-04,2023,0.01,129.0,close
2023-09-04,2023,0.015,129.0,close
2023-09-05,2023,0.0,13.0,close
2023-09-05,2023,0.003,13.0,close
2023-09-05,2023,0.005,13.0,close
2023-09-05,2023,0.0075,13.0,close
2023-09-05,2023,0.01,13.0,close
2023-09-05,2023,0.015,13.0,close
2023-09-06,2023,0.0,-51.0,close
2023-09-06,2023,0.003,-51.0,close
2023-09-06,2023,0.005,-51.0,close
2023-09-06,2023,0.0075,-51.0,close
2023-09-06,2023,0.01,-51.0,close
2023-09-06,2023,0.015,-51.0,close
2023-09-08,2023,0.0,-76.0,close
2023-09-08,2023,0.003,-76.0,close
2023-09-08,2023,0.005,-76.0,close
2023-09-08,2023,0.0075,-76.0,close
2023-09-08,2023,0.01,-76.0,close
2023-09-08,2023,0.015,-76.0,close
2023-09-12,2023,0.0,102.0,close
2023-09-12,2023,0.003,47.395,target
2023-09-12,2023,0.005,80.325,target
2023-09-12,2023,0.0075,121.4875,target
2023-09-12,2023,0.01,102.0,close
2023-09-12,2023,0.015,102.0,close
2023-09-14,2023,0.0,163.0,close
2023-09-14,2023,0.003,48.025,target
2023-09-14,2023,0.005,81.375,target
2023-09-14,2023,0.0075,123.0625,target
2023-09-14,2023,0.01,164.75,target
2023-09-14,2023,0.015,163.0,close
2023-09-15,2023,0.0,58.0,close
2023-09-15,2023,0.003,48.538000000000004,target
2023-09-15,2023,0.005,58.0,close
2023-09-15,2023,0.0075,58.0,close
2023-09-15,2023,0.01,58.0,close
2023-09-15,2023,0.015,58.0,close
2023-09-19,2023,0.0,-84.0,close
2023-09-19,2023,0.003,48.067,target
2023-09-19,2023,0.005,-84.0,close
2023-09-19,2023,0.0075,-84.0,close
2023-09-19,2023,0.01,-84.0,close
2023-09-19,2023,0.015,-84.0,close
2023-09-21,2023,0.0,174.0,close
2023-09-21,2023,0.003,47.452,target
2023-09-21,2023,0.005,80.42,target
2023-09-21,2023,0.0075,121.63,target
2023-09-21,2023,0.01,162.84,target
2023-09-21,2023,0.015,174.0,close
2023-09-22,2023,0.0,-146.0,close
2023-09-22,2023,0.003,-146.0,close
2023-09-22,2023,0.005,-146.0,close
2023-09-22,2023,0.0075,-146.0,close
2023-09-22,2023,0.01,-146.0,close
2023-09-22,2023,0.015,-146.0,close
2023-09-25,2023,0.0,100.0,close
2023-09-25,2023,0.003,47.08,target
2023-09-25,2023,0.005,79.8,target
2023-09-25,2023,0.0075,120.69999999999999,target
2023-09-25,2023,0.01,100.0,close
2023-09-25,2023,0.015,100.0,close
2023-09-26,2023,0.0,-102.0,close
2023-09-26,2023,0.003,-102.0,close
2023-09-26,2023,0.005,-102.0,close
2023-09-26,2023,0.0075,-102.0,close
2023-09-26,2023,0.01,-102.0,close
2023-09-26,2023,0.015,-102.0,close
2023-09-27,2023,0.0,-71.0,close
2023-09-27,2023,0.003,-71.0,close
2023-09-27,2023,0.005,-71.0,close
2023-09-27,2023,0.0075,-71.0,close
2023-09-27,2023,0.01,-71.0,close
2023-09-27,2023,0.015,-71.0,close
2023-09-28,2023,0.0,23.0,close
2023-09-28,2023,0.003,47.035000000000004,target
2023-09-28,2023,0.005,79.72500000000001,target
2023-09-28,2023,0.0075,23.0,close
2023-09-28,2023,0.01,23.0,close
2023-09-28,2023,0.015,23.0,close
2023-10-02,2023,0.0,35.0,close
2023-10-02,2023,0.003,47.563,target
2023-10-02,2023,0.005,80.605,target
2023-10-02,2023,0.0075,35.0,close
2023-10-02,2023,0.01,35.0,close
2023-10-02,2023,0.015,35.0,close
2023-10-03,2023,0.0,-86.0,close
2023-10-03,2023,0.003,47.485,target
2023-10-03,2023,0.005,-86.0,close
2023-10-03,2023,0.0075,-86.0,close
2023-10-03,2023,0.01,-86.0,close
2023-10-03,2023,0.015,-86.0,close
2023-10-05,2023,0.0,156.0,close
2023-10-05,2023,0.003,46.9,target
2023-10-05,2023,0.005,79.5,target
2023-10-05,2023,0.0075,120.25,target
2023-10-05,2023,0.01,161.0,target
2023-10-05,2023,0.015,156.0,close
2023-10-11,2023,0.0,-87.0,close
2023-10-11,2023,0.003,-87.0,close
2023-10-11,2023,0.005,-87.0,close
2023-10-11,2023,0.0075,-87.0,close
2023-10-11,2023,0.01,-87.0,close
2023-10-11,2023,0.015,-87.0,close
2023-10-12,2023,0.0,75.0,close
2023-10-12,2023,0.003,48.319,target
2023-10-12,2023,0.005,75.0,close
2023-10-12,2023,0.0075,75.0,close
2023-10-12,2023,0.01,75.0,close
2023-10-12,2023,0.015,75.0,close
2023-10-13,2023,0.0,19.0,close
2023-10-13,2023,0.003,48.247,target
2023-10-13,2023,0.005,19.0,close
2023-10-13,2023,0.0075,19.0,close
2023-10-13,2023,0.01,19.0,close
2023-10-13,2023,0.015,19.0,close
2023-10-17,2023,0.0,-105.0,close
2023-10-17,2023,0.003,-105.0,close
2023-10-17,2023,0.005,-105.0,close
2023-10-17,2023,0.0075,-105.0,close
2023-10-17,2023,0.01,-105.0,close
2023-10-17,2023,0.015,-105.0,close
2023-10-19,2023,0.0,-111.0,close
2023-10-19,2023,0.003,-111.0,close
2023-10-19,2023,0.005,-111.0,close
2023-10-19,2023,0.0075,-111.0,close
2023-10-19,2023,0.01,-111.0,close
2023-10-19,2023,0.015,-111.0,close
2023-10-20,2023,0.0,40.0,close
2023-10-20,2023,0.003,47.371,target
2023-10-20,2023,0.005,80.285,target
2023-10-20,2023,0.0075,121.4275,target
2023-10-20,2023,0.01,162.57,target
2023-10-20,2023,0.015,40.0,close
2023-10-23,2023,0.0,90.0,close
2023-10-23,2023,0.003,47.050000000000004,target
2023-10-23,2023,0.005,79.75,target
2023-10-23,2023,0.0075,90.0,close
2023-10-23,2023,0.01,90.0,close
2023-10-23,2023,0.015,90.0,close
2023-10-25,2023,0.0,-11.0,close
2023-10-25,2023,0.003,47.098,target
2023-10-25,2023,0.005,79.83,target
2023-10-25,2023,0.0075,-11.0,close
2023-10-25,2023,0.01,-11.0,close
2023-10-25,2023,0.015,-11.0,close
2023-10-30,2023,0.0,44.0,close
2023-10-30,2023,0.003,46.345,target
2023-10-30,2023,0.005,78.575,target
2023-10-30,2023,0.0075,118.8625,target
2023-10-30,2023,0.01,44.0,close
2023-10-30,2023,0.015,44.0,close
2023-10-31,2023,0.0,189.0,close
2023-10-31,2023,0.003,46.561,target
2023-10-31,2023,0.005,78.935,target
2023-10-31,2023,0.0075,119.40249999999999,target
2023-10-31,2023,0.01,159.87,target
2023-10-31,2023,0.015,189.0,close
2023-11-01,2023,0.0,-47.0,close
2023-11-01,2023,0.003,-47.0,close
2023-11-01,2023,0.005,-47.0,close
2023-11-01,2023,0.0075,-47.0,close
2023-11-01,2023,0.01,-47.0,close
2023-11-01,2023,0.015,-47.0,close
2023-11-02,2023,0.0,-46.0,close
2023-11-02,2023,0.003,-46.0,close
2023-11-02,2023,0.005,-46.0,close
2023-11-02,2023,0.0075,-46.0,close
2023-11-02,2023,0.01,-46.0,close
2023-11-02,2023,0.015,-46.0,close
2023-11-03,2023,0.0,-14.0,close
2023-11-03,2023,0.003,-14.0,close
2023-11-03,2023,0.005,-14.0,close
2023-11-03,2023,0.0075,-14.0,close
2023-11-03,2023,0.01,-14.0,close
2023-11-03,2023,0.015,-14.0,close
2023-11-06,2023,0.0,18.0,close
2023-11-06,2023,0.003,18.0,close
2023-11-06,2023,0.005,18.0,close
2023-11-06,2023,0.0075,18.0,close
2023-11-06,2023,0.01,18.0,close
2023-11-06,2023,0.015,18.0,close
2023-11-08,2023,0.0,18.0,close
2023-11-08,2023,0.003,48.19,target
2023-11-08,2023,0.005,18.0,close
2023-11-08,2023,0.0075,18.0,close
2023-11-08,2023,0.01,18.0,close
2023-11-08,2023,0.015,18.0,close
2023-11-09,2023,0.0,53.0,close
2023-11-09,2023,0.003,48.13,target
2023-11-09,2023,0.005,53.0,close
2023-11-09,2023,0.0075,53.0,close
2023-11-09,2023,0.01,53.0,close
2023-11-09,2023,0.015,53.0,close
2023-11-13,2023,0.0,20.0,close
2023-11-13,2023,0.003,48.688,target
2023-11-13,2023,0.005,20.0,close
2023-11-13,2023,0.0075,20.0,close
2023-11-13,2023,0.01,20.0,close
2023-11-13,2023,0.015,20.0,close
2023-11-15,2023,0.0,-12.0,close
2023-11-15,2023,0.003,49.465,target
2023-11-15,2023,0.005,-12.0,close
2023-11-15,2023,0.0075,-12.0,close
2023-11-15,2023,0.01,-12.0,close
2023-11-15,2023,0.015,-12.0,close
2023-11-16,2023,0.0,-15.0,close
2023-11-16,2023,0.003,-15.0,close
2023-11-16,2023,0.005,-15.0,close
2023-11-16,2023,0.0075,-15.0,close
2023-11-16,2023,0.01,-15.0,close
2023-11-16,2023,0.015,-15.0,close
2023-11-17,2023,0.0,64.0,close
2023-11-17,2023,0.003,49.462,target
2023-11-17,2023,0.005,83.77,target
2023-11-17,2023,0.0075,64.0,close
2023-11-17,2023,0.01,64.0,close
2023-11-17,2023,0.015,64.0,close
2023-11-20,2023,0.0,-26.0,close
2023-11-20,2023,0.003,49.666000000000004,target
2023-11-20,2023,0.005,-26.0,close
2023-11-20,2023,0.0075,-26.0,close
2023-11-20,2023,0.01,-26.0,close
2023-11-20,2023,0.015,-26.0,close
2023-11-21,2023,0.0,125.0,close
2023-11-21,2023,0.003,49.855000000000004,target
2023-11-21,2023,0.005,84.425,target
2023-11-21,2023,0.0075,127.63749999999999,target
2023-11-21,2023,0.01,125.0,close
2023-11-21,2023,0.015,125.0,close
2023-11-22,2023,0.0,14.0,close
2023-11-22,2023,0.003,14.0,close
2023-11-22,2023,0.005,14.0,close
2023-11-22,2023,0.0075,14.0,close
2023-11-22,2023,0.01,14.0,close
2023-11-22,2023,0.015,14.0,close
2023-11-23,2023,0.0,36.0,close
2023-11-23,2023,0.003,49.801,target
2023-11-23,2023,0.005,36.0,close
2023-11-23,2023,0.0075,36.0,close
2023-11-23,2023,0.01,36.0,close
2023-11-23,2023,0.015,36.0,close
2023-11-24,2023,0.0,-47.0,close
2023-11-24,2023,0.003,-47.0,close
2023-11-24,2023,0.005,-47.0,close
2023-11-24,2023,0.0075,-47.0,close
2023-11-24,2023,0.01,-47.0,close
2023-11-24,2023,0.015,-47.0,close
2023-11-27,2023,0.0,-90.0,close
2023-11-27,2023,0.003,49.78,target
2023-11-27,2023,0.005,84.3,target
2023-11-27,2023,0.0075,-90.0,close
